Station Name,LID,Modes of Transports
"Rollingergrund, Roudebierg","A=1@O=Rollingergrund, Roudebierg@X=6104700@Y=49624770@U=82@L=200425006@",32
"Hollerich, AVL Portal","A=1@O=Hollerich, AVL Portal@X=6105527@Y=49599115@U=82@L=200415016@",32
"Cessange, Fischerhaff","A=1@O=Cessange, Fischerhaff@X=6105599@Y=49591366@U=82@L=200407007@",32
"Merl, Conservatoire","A=1@O=Merl, Conservatoire@X=6105662@Y=49602261@U=82@L=200420004@",32
"Rollingergrund, Val St André","A=1@O=Rollingergrund, Val St André@X=6105779@Y=49621975@U=82@L=200425011@",32
"Hollerich, P+R Bouillon","A=1@O=Hollerich, P+R Bouillon@X=6106282@Y=49600104@U=82@L=200415009@",32
"Belair, Place de France","A=1@O=Belair, Place de France@X=6106372@Y=49606387@U=82@L=200403013@",32
"Cessange, Kierch","A=1@O=Cessange, Kierch@X=6106732@Y=49589128@U=82@L=200407008@",32
"Rollingergrund, Villeroy & Boch","A=1@O=Rollingergrund, Villeroy *26 Boch@X=6106948@Y=49628177@U=82@L=200425012@",32
"Cessange, Tubishaff","A=1@O=Cessange, Tubishaff@X=6107020@Y=49585847@U=82@L=200407012@",32
"Limpertsberg, Neumans-Park","A=1@O=Limpertsberg, Neumans-Park@X=6107631@Y=49620896@U=82@L=200419029@",32
"Belair, Kierch","A=1@O=Belair, Kierch@X=6107721@Y=49610459@U=82@L=200403010@",32
"Rollingergrund, Val Fleuri","A=1@O=Rollingergrund, Val Fleuri@X=6107748@Y=49619098@U=82@L=200425010@",32
"Belair, Place de Liège","A=1@O=Belair, Place de Liège@X=6107775@Y=49608590@U=82@L=200403014@",32
"Kockelscheuer, Kräizhaff","A=1@O=Kockelscheuer, Kräizhaff@X=6108089@Y=49562376@U=82@L=200418002@",32
"Limpertsberg, Lefèvre","A=1@O=Limpertsberg, Lefèvre@X=6108098@Y=49622352@U=82@L=200419024@",32
"Belair, Amsterdam","A=1@O=Belair, Amsterdam@X=6108188@Y=49612203@U=82@L=200403001@",32
"Kockelscheuer, Plateau","A=1@O=Kockelscheuer, Plateau@X=6108188@Y=49560156@U=82@L=200418004@",32
"Belair, Rue d'Ostende","A=1@O=Belair, Rue d'Ostende@X=6108458@Y=49614388@U=82@L=200403018@",32
"Kockelscheuer, Patinoire","A=1@O=Kockelscheuer, Patinoire@X=6108476@Y=49565244@U=82@L=200418003@",32
"Merl, Geesseknäppchen (N)","A=1@O=Merl, Geesseknäppchen (N)@X=6108485@Y=49603610@U=82@L=200420005@",32
"Cessange, Artisans","A=1@O=Cessange, Artisans@X=6109923@Y=49594468@U=82@L=200407003@",32
"Merl, Parc","A=1@O=Merl, Parc@X=6110112@Y=49607457@U=82@L=200420012@",32
"Bambësch, Centre Sportif","A=1@O=Bambësch, Centre Sportif@X=6110489@Y=49632070@U=82@L=200401001@",32
"Cessange, EIGT","A=1@O=Cessange, EIGT@X=6110507@Y=49590009@U=82@L=200407015@",32
"Gasperich, Stadion","A=1@O=Gasperich, Stadion@X=6110948@Y=49576552@U=82@L=200423009@",256
"Rollingergrund, Beim Klomp","A=1@O=Rollingergrund, Beim Klomp@X=6111092@Y=49618001@U=82@L=200425004@",32
"Merl, Athénée","A=1@O=Merl, Athénée@X=6111218@Y=49604967@U=82@L=200420001@",32
"Cessange, Kuelebierg","A=1@O=Cessange, Kuelebierg@X=6111253@Y=49588238@U=82@L=200407009@",32
"Gasperich, Stade de Luxembourg","A=1@O=Gasperich, Stade de Luxembourg@X=6111496@Y=49576813@U=82@L=200412031@",32
"Hollerich, Kierfecht","A=1@O=Hollerich, Kierfecht@X=6111946@Y=49599600@U=82@L=200415017@",32
"Limpertsberg, Jean Soupert","A=1@O=Limpertsberg, Jean Soupert@X=6112036@Y=49622029@U=82@L=200419012@",32
"Belair, Archiducs","A=1@O=Belair, Archiducs@X=6112260@Y=49612671@U=82@L=200403002@",32
"Belair, Franciscaines","A=1@O=Belair, Franciscaines@X=6112970@Y=49608275@U=82@L=200403007@",32
"Gasperich, Schaarfen Eck","A=1@O=Gasperich, Schaarfen Eck@X=6113132@Y=49579555@U=82@L=200412018@",32
"Belair, Sacré-Coeur","A=1@O=Belair, Sacré-Coeur@X=6113159@Y=49610280@U=82@L=200403005@",32
"Kockelscheuer, Camping","A=1@O=Kockelscheuer, Camping@X=6113204@Y=49573837@U=82@L=200418001@",32
"Muhlenbach, Peiffeschbierg","A=1@O=Muhlenbach, Peiffeschbierg@X=6113240@Y=49628384@U=82@L=200421004@",32
"Merl, Geesseknäppchen (S)","A=1@O=Merl, Geesseknäppchen (S)@X=6113483@Y=49601722@U=82@L=200420006@",32
"Belair, Nicolas Simmer","A=1@O=Belair, Nicolas Simmer@X=6113537@Y=49614244@U=82@L=200403017@",32
"Rollingergrund, Bei der Fiels","A=1@O=Rollingergrund, Bei der Fiels@X=6114076@Y=49617255@U=82@L=200425003@",32
"Luxembourg, Uni Campus Limpertsberg","A=1@O=Luxembourg, Uni Campus Limpertsberg@X=6114508@Y=49620959@U=82@L=200419020@",32
"Limpertsberg, Léandre Lacroix","A=1@O=Limpertsberg, Léandre Lacroix@X=6114669@Y=49622181@U=82@L=200419023@",32
"Limpertsberg, Lycée Michel Lucius","A=1@O=Limpertsberg, Lycée Michel Lucius@X=6114804@Y=49624393@U=82@L=200419022@",32
"Hollerich, Alphonse Munchen","A=1@O=Hollerich, Alphonse Munchen@X=6114813@Y=49604518@U=82@L=200415001@",32
"Luxembourg, Siggy vu Lëtzebuerg","A=1@O=Luxembourg, Siggy vu Lëtzebuerg@X=6114948@Y=49626164@U=82@L=200419015@",32
"Belair, Bragance","A=1@O=Belair, Bragance@X=6114957@Y=49607295@U=82@L=200403004@",32
"Limpertsberg, L.T.C.","A=1@O=Limpertsberg, L.T.C.@X=6115164@Y=49624788@U=82@L=200419021@",32
"Cessange, Rue Verte","A=1@O=Cessange, Rue Verte@X=6115236@Y=49589676@U=82@L=200407011@",32
"Gasperich, Cloche d'Or","A=1@O=Gasperich, Cloche d'Or@X=6115353@Y=49583474@U=82@L=200412006@",32
"Cessange, Barrès","A=1@O=Cessange, Barrès@X=6115757@Y=49595870@U=82@L=200407004@",32
"Luxembourg, Square New York","A=1@O=Luxembourg, Square New York@X=6115946@Y=49613219@U=82@L=200403022@",32
"Gasperich, Stengege Wee","A=1@O=Gasperich, Stengege Wee@X=6116216@Y=49588229@U=82@L=200412028@",32
"Rollingergrund, Biischtefabrick","A=1@O=Rollingergrund, Biischtefabrick@X=6116584@Y=49615143@U=82@L=200425005@",32
"Hollerich, Poincaré","A=1@O=Hollerich, Poincaré@X=6116611@Y=49602270@U=82@L=200415011@",32
"Limpertsberg, Batty Weber","A=1@O=Limpertsberg, Batty Weber@X=6116764@Y=49622379@U=82@L=200419008@",32
"Belair, Crécy","A=1@O=Belair, Crécy@X=6116854@Y=49608868@U=82@L=200403006@",32
"Gasperich, Gaasperecher Bierg","A=1@O=Gasperich, Gaasperecher Bierg@X=6116971@Y=49592778@U=82@L=200412009@",32
"Limpertsberg, Ermesinde","A=1@O=Limpertsberg, Ermesinde@X=6117007@Y=49619179@U=82@L=200419014@",32
"Muhlenbach, Siwemuergen","A=1@O=Muhlenbach, Siwemuergen@X=6117016@Y=49629193@U=82@L=200421006@",32
"Gasperich, prov. Cloche d'Or Quai 4","A=1@O=Gasperich, prov. Cloche d'Or Quai 4@X=6117105@Y=49583276@U=82@L=900000011@",32
"Hollerich, Schluechthaus","A=1@O=Hollerich, Schluechthaus@X=6117321@Y=49600320@U=82@L=200415013@",32
"Gasperich, Louis de Froment","A=1@O=Gasperich, Louis de Froment@X=6117582@Y=49590252@U=82@L=200412013@",32
"Gasperich, Émile Bian","A=1@O=Gasperich, Émile Bian@X=6117798@Y=49580256@U=82@L=200412004@",32
"Hollerich, Salzhaff","A=1@O=Hollerich, Salzhaff@X=6117861@Y=49600032@U=82@L=200415012@",32
"Hollerich, Aciérie","A=1@O=Hollerich, Aciérie@X=6117915@Y=49597236@U=82@L=200415002@",32
"Gasperich, Jean Piret","A=1@O=Gasperich, Jean Piret@X=6118166@Y=49583141@U=82@L=200412022@",32
"Gasperich, Beethoven","A=1@O=Gasperich, Beethoven@X=6118337@Y=49589640@U=82@L=200412002@",32
"Belair, Guillaume","A=1@O=Belair, Guillaume@X=6118454@Y=49606639@U=82@L=200403008@",32
"Hollerich, Nancy","A=1@O=Hollerich, Nancy@X=6118454@Y=49603412@U=82@L=200415008@",32
"Limpertsberg, N.S. Pierret","A=1@O=Limpertsberg, N.S. Pierret@X=6118562@Y=49620707@U=82@L=200419028@",32
"Centre, Stäreplaz / Étoile (Bus)","A=1@O=Centre, Stäreplaz / Étoile (Bus)@X=6119056@Y=49613507@U=82@L=200405045@",32
"Limpertsberg, Square André","A=1@O=Limpertsberg, Square André@X=6119137@Y=49623656@U=82@L=200419034@",32
"Limpertsberg, Henri VII","A=1@O=Limpertsberg, Henri VII@X=6119254@Y=49617912@U=82@L=200419019@",32
"Gasperich, Klensch","A=1@O=Gasperich, Klensch@X=6119425@Y=49593155@U=82@L=200412011@",32
"Centre, Stäreplaz / Étoile (Tram)","A=1@O=Centre, Stäreplaz / Étoile (Tram)@X=6119604@Y=49613678@U=82@L=200405061@",256
"Hollerich, Heentze Park","A=1@O=Hollerich, Heentze Park@X=6119937@Y=49601407@U=82@L=200415005@",32
"Limpertsberg, Avenir","A=1@O=Limpertsberg, Avenir@X=6120198@Y=49625453@U=82@L=200419007@",32
"Gasperich, Lise Meitner","A=1@O=Gasperich, Lise Meitner@X=6120324@Y=49584624@U=82@L=200412032@",32
"Limpertsberg, Alen Tramsschapp","A=1@O=Limpertsberg, Alen Tramsschapp@X=6120611@Y=49621975@U=82@L=200419002@",32
"Gasperich, Waassertuerm (Tram)","A=1@O=Gasperich, Waassertuerm (Tram)@X=6120629@Y=49579914@U=82@L=200423008@",256
"Gasperich, Waassertuerm","A=1@O=Gasperich, Waassertuerm@X=6120782@Y=49580723@U=82@L=200412023@",32
"Belair, Rheinsheim","A=1@O=Belair, Rheinsheim@X=6120827@Y=49607457@U=82@L=200403015@",32
"Hollerich, Gare","A=1@O=Hollerich, Gare@X=6120863@Y=49595394@U=82@L=200415014@",4
"Hollerich, Gare routière","A=1@O=Hollerich, Gare routière@X=6120953@Y=49595178@U=82@L=200415004@",32
"Gasperich, François Hogenberg","A=1@O=Gasperich, François Hogenberg@X=6120962@Y=49587555@U=82@L=200412008@",32
"Belair, Wampach","A=1@O=Belair, Wampach@X=6121088@Y=49609893@U=82@L=200403020@",32
"Limpertsberg, Faïencerie","A=1@O=Limpertsberg, Faïencerie@X=6121267@Y=49616042@U=82@L=200419039@",256
"Gasperich, Al Gaasperech","A=1@O=Gasperich, Al Gaasperech@X=6121312@Y=49592238@U=82@L=200412001@",32
"Hollerich, Jean-Baptiste Merkels","A=1@O=Hollerich, Jean-Baptiste Merkels@X=6121375@Y=49599151@U=82@L=200415006@",32
"Limpertsberg, Alfred de Musset","A=1@O=Limpertsberg, Alfred de Musset@X=6122005@Y=49618936@U=82@L=200419003@",32
"Gasperich, Hildegard von Bingen","A=1@O=Gasperich, Hildegard von Bingen@X=6122014@Y=49582413@U=82@L=200412024@",32
"Limpertsberg, Faïencerie/INL","A=1@O=Limpertsberg, Faïencerie/INL@X=6122077@Y=49616123@U=82@L=200419036@",32
"Muhlenbach, Eecher Schmelz","A=1@O=Muhlenbach, Eecher Schmelz@X=6122274@Y=49627988@U=82@L=200421003@",32
"Limpertsberg, Waassertuerm","A=1@O=Limpertsberg, Waassertuerm@X=6122346@Y=49623952@U=82@L=200419035@",32
"Limpertsberg, Hall Victor Hugo","A=1@O=Limpertsberg, Hall Victor Hugo@X=6122805@Y=49620734@U=82@L=200419038@",32
"Limpertsberg, Lycée de Garçons","A=1@O=Limpertsberg, Lycée de Garçons@X=6122832@Y=49620060@U=82@L=200419025@",32
"Limpertsberg, Bois","A=1@O=Limpertsberg, Bois@X=6122984@Y=49622613@U=82@L=200419011@",32
"Gasperich, Charles Darwin","A=1@O=Gasperich, Charles Darwin@X=6123740@Y=49584535@U=82@L=200412026@",32
"Gasperich, Gerhard Mercator","A=1@O=Gasperich, Gerhard Mercator@X=6123883@Y=49582566@U=82@L=200412021@",32
"Limpertsberg, Allée Scheffer","A=1@O=Limpertsberg, Allée Scheffer@X=6124045@Y=49618199@U=82@L=200419004@",32
"Limpertsberg, Guillaume Schneider","A=1@O=Limpertsberg, Guillaume Schneider@X=6124171@Y=49620545@U=82@L=200419018@",32
"Gasperich, Richard Wagner","A=1@O=Gasperich, Richard Wagner@X=6124270@Y=49589191@U=82@L=200412016@",32
"Luxembourg/Centre, Michel Rodange","A=1@O=Luxembourg/Centre, Michel Rodange@X=6124737@Y=49603088@U=82@L=200405024@",32
"Gasperich, Bei der Auer","A=1@O=Gasperich, Bei der Auer@X=6124755@Y=49591276@U=82@L=200412003@",32
"Luxembourg/Centre, Monterey","A=1@O=Luxembourg/Centre, Monterey@X=6125016@Y=49610450@U=82@L=200405025@",32
"Luxembourg, Amélie","A=1@O=Luxembourg, Amélie@X=6125034@Y=49613606@U=82@L=200405049@",32
"Limpertsberg, Theater (Tram)","A=1@O=Limpertsberg, Theater (Tram)@X=6125340@Y=49617642@U=82@L=200419041@",256
"Gasperich, Lycée Vauban","A=1@O=Gasperich, Lycée Vauban@X=6125340@Y=49583708@U=82@L=200423006@",256
"Limpertsberg, Theater (Bus)","A=1@O=Limpertsberg, Theater (Bus)@X=6125582@Y=49617929@U=82@L=200419026@",32
"Gasperich, Lascombes","A=1@O=Gasperich, Lascombes@X=6125663@Y=49594252@U=82@L=200412012@",32
Hamilius (Bus),A=1@O=Hamilius (Bus)@X=6125978@Y=49611502@U=82@L=200405020@,32
Hamilius (Tram),A=1@O=Hamilius (Tram)@X=6126140@Y=49611098@U=82@L=200405057@,256
"Luxembourg, Ste Zithe","A=1@O=Luxembourg, Ste Zithe@X=6126194@Y=49606675@U=82@L=200405038@",32
"Centre, Etats-Unis","A=1@O=Centre, Etats-Unis@X=6126661@Y=49600302@U=82@L=200405012@",32
"Hollerich, Fonderie","A=1@O=Hollerich, Fonderie@X=6126670@Y=49598576@U=82@L=200415003@",32
"Limpertsberg, Arts et Métiers","A=1@O=Limpertsberg, Arts et Métiers@X=6126688@Y=49621759@U=82@L=200419005@",32
"Centre, Fondation Pescatore","A=1@O=Centre, Fondation Pescatore@X=6126751@Y=49615709@U=82@L=200405014@",32
"Limpertsberg, Bd.P. Eyschen","A=1@O=Limpertsberg, Bd.P. Eyschen@X=6126814@Y=49619359@U=82@L=200419009@",32
"Gasperich, Millewee","A=1@O=Gasperich, Millewee@X=6127039@Y=49592059@U=82@L=200412020@",32
"Bereldange, Schoul","A=1@O=Bereldange, Schoul@X=6127398@Y=49653311@U=82@L=201001003@",32
"Limpertsberg, Belle-Vue","A=1@O=Limpertsberg, Belle-Vue@X=6127551@Y=49623035@U=82@L=200419010@",32
"Beggen, Rue du Pont","A=1@O=Beggen, Rue du Pont@X=6127686@Y=49649005@U=82@L=200402007@",32
"Eich, Ecole Eich","A=1@O=Eich, Ecole Eich@X=6127713@Y=49626946@U=82@L=200410002@",32
"Limpertsberg, Kiischtewee","A=1@O=Limpertsberg, Kiischtewee@X=6127713@Y=49620833@U=82@L=200419037@",32
"Gasperich, Francophonie","A=1@O=Gasperich, Francophonie@X=6127803@Y=49584948@U=82@L=200412025@",32
"Bereldange, Rue du Pont","A=1@O=Bereldange, Rue du Pont@X=6127821@Y=49649589@U=82@L=201001004@",32
"Gasperich, Clemenceau","A=1@O=Gasperich, Clemenceau@X=6127857@Y=49589883@U=82@L=200412005@",32
"Gasperich, Déportation","A=1@O=Gasperich, Déportation@X=6127982@Y=49593793@U=82@L=200412007@",32
"Centre, Adolphe Fischer","A=1@O=Centre, Adolphe Fischer@X=6128027@Y=49599996@U=82@L=200405062@",32
"Howald, P&R Howald","A=1@O=Howald, P*26R Howald@X=6128171@Y=49579312@U=82@L=200304012@",32
"Beggen, Bastogne","A=1@O=Beggen, Bastogne@X=6128270@Y=49645931@U=82@L=200402001@",32
"Luxembourg, Place de Metz","A=1@O=Luxembourg, Place de Metz@X=6128351@Y=49606882@U=82@L=200405051@",256
"Centre, Badanstalt","A=1@O=Centre, Badanstalt@X=6129169@Y=49613534@U=82@L=200405005@",32
"Limpertsberg, Alen Eecher Bierg","A=1@O=Limpertsberg, Alen Eecher Bierg@X=6129448@Y=49621858@U=82@L=200419001@",32
"Beggen, Kierch","A=1@O=Beggen, Kierch@X=6129475@Y=49643423@U=82@L=200402006@",32
"Eich, Eecher Plaz","A=1@O=Eich, Eecher Plaz@X=6129933@Y=49627566@U=82@L=200410003@",32
"Limpertsberg, Crispinus","A=1@O=Limpertsberg, Crispinus@X=6130239@Y=49619350@U=82@L=200419013@",32
"Beggen, Binnchen","A=1@O=Beggen, Binnchen@X=6130293@Y=49641643@U=82@L=200402002@",32
"Centre, Alsace","A=1@O=Centre, Alsace@X=6130329@Y=49596041@U=82@L=200405003@",32
"Eich, Octroi","A=1@O=Eich, Octroi@X=6130329@Y=49622550@U=82@L=200410005@",32
"Luxembourg, rue Heine","A=1@O=Luxembourg, rue Heine@X=6130625@Y=49605219@U=82@L=200405037@",32
"Luxembourg, Paräisser Plaz","A=1@O=Luxembourg, Paräisser Plaz@X=6130706@Y=49604086@U=82@L=200405058@",256
"Howald, Gare (Tram)","A=1@O=Howald, Gare (Tram)@X=6130859@Y=49581667@U=82@L=200304019@",256
"Centre, Cathédrale","A=1@O=Centre, Cathédrale@X=6131147@Y=49610001@U=82@L=200405007@",32
"Howald, PE Howald gare routière","A=1@O=Howald, PE Howald gare routière@X=6131425@Y=49580453@U=82@L=200304016@",32
"Centre, Kasinosgaass","A=1@O=Centre, Kasinosgaass@X=6131515@Y=49612374@U=82@L=200405022@",32
"Pfaffenthal, Stade G. Diderich","A=1@O=Pfaffenthal, Stade G. Diderich@X=6131569@Y=49621714@U=82@L=200423002@",32
"Centre, F.D. Roosevelt","A=1@O=Centre, F.D. Roosevelt@X=6131650@Y=49608796@U=82@L=200405013@",32
"Centre, Gruef","A=1@O=Centre, Gruef@X=6131659@Y=49611089@U=82@L=200405018@",32
"Beggen, Henri Heymanns","A=1@O=Beggen, Henri Heymanns@X=6132144@Y=49637966@U=82@L=200402005@",32
"Eich, Centre Culturel","A=1@O=Eich, Centre Culturel@X=6132369@Y=49628932@U=82@L=200410001@",32
"Pfaffenthal, Halte CFL","A=1@O=Pfaffenthal, Halte CFL@X=6132387@Y=49618990@U=82@L=200423007@",32
"Howald, Gare","A=1@O=Howald, Gare@X=6132459@Y=49581083@U=82@L=200304014@",4
"Pfaffenthal, Sichenhaff","A=1@O=Pfaffenthal, Sichenhaff@X=6132558@Y=49620078@U=82@L=200423001@",32
"Weimerskirch, Laval's Park","A=1@O=Weimerskirch, Laval's Park@X=6132783@Y=49628276@U=82@L=200426007@",32
"Pfaffenthal, Théiwesbuer","A=1@O=Pfaffenthal, Théiwesbuer@X=6132828@Y=49615835@U=82@L=200423003@",32
"Pfaffenthal-Kirchberg, Gare","A=1@O=Pfaffenthal-Kirchberg, Gare@X=6132917@Y=49618936@U=82@L=200417051@",6
"Luxembourg, Gare Centrale routière","A=1@O=Luxembourg, Gare Centrale routière@X=6133034@Y=49599070@U=82@L=200405036@",32
"Gare, Al Avenue","A=1@O=Gare, Al Avenue@X=6133052@Y=49603043@U=82@L=200405001@",32
"Luxembourg, Gare Centrale (Tram)","A=1@O=Luxembourg, Gare Centrale (Tram)@X=6133412@Y=49599942@U=82@L=200405059@",256
"Howald, Ronneboesch","A=1@O=Howald, Ronneboesch@X=6133601@Y=49578817@U=82@L=200304011@",32
"Luxembourg, Gare Centrale","A=1@O=Luxembourg, Gare Centrale@X=6134239@Y=49599969@U=82@L=200405060@",7
"Dommeldange, Emile Metz","A=1@O=Dommeldange, Emile Metz@X=6134257@Y=49635081@U=82@L=200409007@",32
"Luxembourg, Wallis","A=1@O=Luxembourg, Wallis@X=6134329@Y=49603115@U=82@L=200405039@",32
"Beggen, Henri Dunant","A=1@O=Beggen, Henri Dunant@X=6134545@Y=49647594@U=82@L=200402004@",32
"Eich, Eecher Klinick","A=1@O=Eich, Eecher Klinick@X=6134643@Y=49631791@U=82@L=200410004@",32
"Beggen, Cyprien Merjai","A=1@O=Beggen, Cyprien Merjai@X=6134778@Y=49643396@U=82@L=200402003@",32
"Pfaffenthal, Um Bock","A=1@O=Pfaffenthal, Um Bock@X=6135093@Y=49611655@U=82@L=200423004@",32
"Grund, Stadgronn-Bréck","A=1@O=Grund, Stadgronn-Bréck@X=6135381@Y=49608392@U=82@L=200413001@",32
"Howald, Op der Stirzel","A=1@O=Howald, Op der Stirzel@X=6135390@Y=49576768@U=82@L=200304007@",32
"Pfaffenthal, Vauban","A=1@O=Pfaffenthal, Vauban@X=6135417@Y=49613956@U=82@L=200423005@",32
"Weimerskirch, Knupp","A=1@O=Weimerskirch, Knupp@X=6135605@Y=49628815@U=82@L=200426006@",32
"Kirchberg, Rout Bréck - Pafendall (Bus)","A=1@O=Kirchberg, Rout Bréck - Pafendall (Bus)@X=6135749@Y=49618370@U=82@L=200417047@",32
"Kopstal, Kléipesch","A=1@O=Kopstal, Kléipesch@X=6072096@Y=49660844@U=82@L=190802004@",32
"Kopstal, Kapell","A=1@O=Kopstal, Kapell@X=6072483@Y=49661374@U=82@L=190802002@",32
"Kopstal, Saangen","A=1@O=Kopstal, Saangen@X=6072861@Y=49668799@U=82@L=190802003@",32
"Kopstal, Bréck","A=1@O=Kopstal, Bréck@X=6073067@Y=49663972@U=82@L=190802001@",32
"Bridel, Berk","A=1@O=Bridel, Berk@X=6078551@Y=49659792@U=82@L=190801001@",32
"Mersch, Hunnebour","A=1@O=Mersch, Hunnebour@X=6079881@Y=49729414@U=82@L=160904013@",32
"Reckange/Mersch, Schoul","A=1@O=Reckange/Mersch, Schoul@X=6080151@Y=49747446@U=82@L=160907005@",32
"Bridel, Flamo","A=1@O=Bridel, Flamo@X=6081571@Y=49659010@U=82@L=190801002@",32
"Bridel, Taverne","A=1@O=Bridel, Taverne@X=6082659@Y=49657069@U=82@L=190801005@",32
"Reckange/Mersch, Hunnebourerstr.","A=1@O=Reckange/Mersch, Hunnebourerstr.@X=6084070@Y=49745576@U=82@L=160907004@",32
Direndall,A=1@O=Direndall@X=6089760@Y=49688486@U=82@L=190607001@,32
"Schoenfels, Duerf","A=1@O=Schoenfels, Duerf@X=6090003@Y=49717728@U=82@L=160909001@",32
"Schoenfels, Schlass","A=1@O=Schoenfels, Schlass@X=6091522@Y=49719184@U=82@L=160909002@",32
"Mersch, Uewermiersch","A=1@O=Mersch, Uewermiersch@X=6096439@Y=49743023@U=82@L=160904006@",32
"Mersch, Lankheck","A=1@O=Mersch, Lankheck@X=6096916@Y=49744848@U=82@L=160904002@",32
"Mersch, Nic. Welter","A=1@O=Mersch, Nic. Welter@X=6100044@Y=49744309@U=82@L=160904010@",32
"Mersch, Maartplaz","A=1@O=Mersch, Maartplaz@X=6103801@Y=49747581@U=82@L=160904003@",32
"Rollingen, Blannenheem","A=1@O=Rollingen, Blannenheem@X=6112970@Y=49744525@U=82@L=160902001@",32
"Rollingen, Veräinsbau","A=1@O=Rollingen, Veräinsbau@X=6113708@Y=49741199@U=82@L=160902004@",32
"Gosseldange, Route de Schoenfels","A=1@O=Gosseldange, Route de Schoenfels@X=6114562@Y=49728038@U=82@L=160701002@",32
"Gosseldange, Kapell","A=1@O=Gosseldange, Kapell@X=6115604@Y=49726241@U=82@L=160701001@",32
"Gosseldange, Vor Bell","A=1@O=Gosseldange, Vor Bell@X=6116332@Y=49722052@U=82@L=160701003@",32
"Rollingen, Lëtzebuergerstr.","A=1@O=Rollingen, Lëtzebuergerstr.@X=6116521@Y=49735625@U=82@L=160902003@",32
"Gosseldange, Op der Uelzechtbréck","A=1@O=Gosseldange, Op der Uelzechtbréck@X=6118984@Y=49719903@U=82@L=160701004@",32
"Steinsel, Laval","A=1@O=Steinsel, Laval@X=6119685@Y=49669555@U=82@L=200801004@",32
Prettingen,A=1@O=Prettingen@X=6119802@Y=49717943@U=82@L=160703011@,32
"Steinsel, Gonneschhaff","A=1@O=Steinsel, Gonneschhaff@X=6120270@Y=49671631@U=82@L=200801003@",32
"Steinsel, Bourgaass","A=1@O=Steinsel, Bourgaass@X=6121816@Y=49677537@U=82@L=200801002@",32
"Steinsel, Um Gruef","A=1@O=Steinsel, Um Gruef@X=6122301@Y=49675290@U=82@L=200801008@",32
"Lintgen, Gare","A=1@O=Lintgen, Gare@X=6123083@Y=49720685@U=82@L=160702002@",4
"Steinsel, Schoul","A=1@O=Steinsel, Schoul@X=6123937@Y=49678022@U=82@L=200801007@",32
"Steinsel, Michel Rodange Plaz","A=1@O=Steinsel, Michel Rodange Plaz@X=6124665@Y=49676998@U=82@L=200801005@",32
"Steinsel, Kennedy","A=1@O=Steinsel, Kennedy@X=6124908@Y=49670516@U=82@L=200801011@",32
"Lintgen, Kräizung","A=1@O=Lintgen, Kräizung@X=6125115@Y=49720344@U=82@L=160702003@",32
"Bereldange, Elterstrachen","A=1@O=Bereldange, Elterstrachen@X=6125960@Y=49660952@U=82@L=201001001@",32
"Steinsel, Zone Industrielle","A=1@O=Steinsel, Zone Industrielle@X=6127110@Y=49669950@U=82@L=200801009@",32
"Bereldange, Police","A=1@O=Bereldange, Police@X=6127245@Y=49656736@U=82@L=201001002@",32
"Lintgen, An der Kléck","A=1@O=Lintgen, An der Kléck@X=6127866@Y=49714195@U=82@L=160702001@",32
"Mullendorf, Op der Muschel","A=1@O=Mullendorf, Op der Muschel@X=6129609@Y=49682760@U=82@L=200803012@",32
Müllendorf/Mëlleref,A=1@O=Müllendorf/Mëlleref@X=6129672@Y=49679056@U=82@L=200801001@,32
"Hunsdorf, Bei der Kiirch","A=1@O=Hunsdorf, Bei der Kiirch@X=6130086@Y=49696576@U=82@L=160805002@",32
"Walferdange, Gemenge Plaz","A=1@O=Walferdange, Gemenge Plaz@X=6130751@Y=49659145@U=82@L=201004002@",32
"Hunsdorf, Alsbech","A=1@O=Hunsdorf, Alsbech@X=6131470@Y=49696369@U=82@L=160805001@",32
"Helmsange, Tricentenaire","A=1@O=Helmsange, Tricentenaire@X=6133250@Y=49662345@U=82@L=201003004@",32
"Helmsange, Mercatoris","A=1@O=Helmsange, Mercatoris@X=6134293@Y=49665869@U=82@L=201003002@",32
"Heisdorf, Altersheem","A=1@O=Heisdorf, Altersheem@X=6134922@Y=49676045@U=82@L=200802001@",32
"Heisdorf, Millewee","A=1@O=Heisdorf, Millewee@X=6135156@Y=49668763@U=82@L=201003003@",32
"Helmsange, Barriär","A=1@O=Helmsange, Barriär@X=6135650@Y=49659963@U=82@L=201003001@",32
"Heisdorf, Bei der Parkmauer","A=1@O=Heisdorf, Bei der Parkmauer@X=6135902@Y=49671173@U=82@L=200802002@",32
"Walferdange, Gare routière","A=1@O=Walferdange, Gare routière@X=6135965@Y=49661482@U=82@L=201004003@",32
"Bissen, Beim Maes","A=1@O=Bissen, Beim Maes@X=6071243@Y=49787520@U=82@L=160101011@",32
"Bissen, Geiwels","A=1@O=Bissen, Geiwels@X=6071755@Y=49791844@U=82@L=160101003@",32
"Bissen, Op der Millen","A=1@O=Bissen, Op der Millen@X=6074622@Y=49795026@U=82@L=160101005@",32
"Reckange/Mersch, Hosbich","A=1@O=Reckange/Mersch, Hosbich@X=6076007@Y=49751293@U=82@L=160907003@",32
"Bissen, Beim Steekräiz","A=1@O=Bissen, Beim Steekräiz@X=6077463@Y=49785443@U=82@L=160101012@",32
